"","date","Positive","Negative"
"1","2015-04-13",1,0
"2","2015-05-04",1,0
"3","2015-06-01",1,0
"4","2015-06-08",3,0
"5","2015-06-15",2,0
"6","2015-06-22",3,0
"7","2015-06-29",1,0
"8","2015-07-06",3,0
"9","2015-07-13",1,0
"10","2015-07-20",1,0
"11","2015-07-27",5,0
"12","2015-08-03",4,0
"13","2015-08-10",3,0
"14","2015-08-17",4,0
"15","2015-08-24",2,0
"16","2015-08-31",8,0
"17","2015-09-07",3,0
"18","2015-09-14",4,0
"19","2015-09-21",4,0
"20","2015-09-28",5,0
"21","2015-10-05",4,0
"22","2015-10-12",6,0
"23","2015-10-19",7,0
"24","2015-10-26",9,0
"25","2015-11-02",9,0
"26","2015-11-09",1,0
"27","2015-11-16",6,0
"28","2015-11-23",2,0
"29","2015-11-30",6,0
"30","2015-12-14",1,0
"31","2015-12-21",4,0
"32","2015-12-28",7,0
"33","2016-01-04",1,0
"34","2016-01-11",1,0
"35","2016-01-18",5,0
"36","2016-01-25",1,0
"37","2016-02-01",1,0
"38","2016-02-08",3,0
"39","2016-02-15",1,0
"40","2016-02-22",1,0
"41","2016-02-29",4,0
"42","2016-03-07",3,0
"43","2016-03-14",4,0
"44","2016-03-21",4,0
"45","2016-03-28",5,0
"46","2016-04-04",3,0
"47","2016-04-11",4,0
"48","2016-04-18",5,0
"49","2016-04-25",3,0
"50","2016-05-02",7,0
"51","2016-05-09",5,0
"52","2016-05-16",7,0
"53","2016-05-23",5,0
"54","2016-05-30",4,0
"55","2016-06-06",5,0
"56","2016-06-13",13,0
"57","2016-06-20",8,0
"58","2016-06-27",11,0
"59","2016-07-04",10,0
"60","2016-07-11",16,0
"61","2016-07-18",17,0
"62","2016-07-25",26,0
"63","2016-08-01",7,0
"64","2016-08-08",24,0
"65","2016-08-15",11,0
"66","2016-08-22",9,0
"67","2016-08-29",12,1
"68","2016-09-05",14,0
"69","2016-09-12",12,1
"70","2016-09-19",14,1
"71","2016-09-26",13,0
"72","2016-10-03",12,1
"73","2016-10-10",11,3
"74","2016-10-17",9,0
"75","2016-10-24",13,0
"76","2016-10-31",21,0
"77","2016-11-07",14,0
"78","2016-11-14",17,1
"79","2016-11-21",14,0
"80","2016-11-28",9,1
"81","2016-12-05",19,1
"82","2016-12-12",15,0
"83","2016-12-19",16,0
"84","2016-12-26",30,0
"85","2017-01-02",31,0
"86","2017-01-09",20,0
"87","2017-01-16",31,0
"88","2017-01-23",17,0
"89","2017-01-30",19,0
"90","2017-02-06",21,0
"91","2017-02-13",24,0
"92","2017-02-20",31,0
"93","2017-02-27",32,2
"94","2017-03-06",22,0
"95","2017-03-13",30,0
"96","2017-03-20",20,1
"97","2017-03-27",37,1
"98","2017-04-03",25,0
"99","2017-04-10",27,2
"100","2017-04-17",29,1
"101","2017-04-24",31,0
"102","2017-05-01",45,4
"103","2017-05-08",40,1
"104","2017-05-15",37,4
"105","2017-05-22",28,0
"106","2017-05-29",32,1
"107","2017-06-05",54,3
"108","2017-06-12",35,0
"109","2017-06-19",54,2
"110","2017-06-26",37,0
"111","2017-07-03",26,2
"112","2017-07-10",43,1
"113","2017-07-17",50,4
"114","2017-07-24",44,7
"115","2017-07-31",46,1
"116","2017-08-07",38,6
"117","2017-08-14",49,3
"118","2017-08-21",49,1
"119","2017-08-28",47,1
"120","2017-09-04",48,4
"121","2017-09-11",42,0
"122","2017-09-18",18,1
"123","2017-09-25",1,0
